video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"krsBRQbOPQ4","$1 vs $250,000,000 Private Island!","2024-01-27T17:00:00Z","UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast","24","24.20.02","[none]","135783526","98057","False"
"wed70uB3aKE","The Quiet Uber Driver | ft. @DarrylMayes","2024-02-13T22:00:32Z","UCQbkwWO1G1zGkPdHuMiv4Xw","Dtay Known","23","24.20.02","Ransom|Parody|comedy|Kyle Exum|Dtay Known|TikTok|Mama Trunks|TheBlackTrunks|dante williams|skit|reactions|rap|funny songs|Juice wrldd|The Box|Roddy Ricch|Charli TikTok|Parents During Quarantine|Quarantine|Da Baby|Lil Nas|coi leray|Peaches|Lil baby|Stay|Stay Kid Laroi|Kid Laroi|Stay Parody Pain|Drake|21 savage|mr beast|jack harlow|Lovin On Me|Uber Driver|Uber Drivers be like|Different Types of Uber Drivers|The quiet uber driver|Darryl Mayes","990434","1628","False"
"GFAeAQ0qQ9c","My favorite guy on instagram","2024-02-13T19:33:44Z","UCTSRIY3GLFYIpkR2QwyeklA","Drew Gooden","23","24.20.02","drew gooden|comedy|commentary|reaction|vine|drew gooden vine|road work ahead guy|parody|rant|cringe","1534027","7008","False"
"TbIdtKFdvlQ","DEADPOOL & WOLVERINE TRAILER: 20 MORE Easter Eggs We Missed!","2024-02-14T21:26:27Z","UC7yRILFFJ2QZCykymr8LPwA","New Rockstars","24","24.20.02","new rockstars|new rockstars youtube|youtube new rockstars|Deadpool wolverine|deadpool|wolverine|trailer|deadpool 3|deadpool and wolverine|wolverine trailer","575761","786","False"
"Htp9Elx6mBo","Copenhagen vs. Man. City: Extended Highlights | UCL Round of 16 1st Leg | CBS Sports Golazo","2024-02-13T22:24:26Z","UCET00YnetHT7tOpu12v8jxg","CBS Sports Golazo","17","24.20.02","Champions League|Europa League|Soccer|UEFA|UCL|European Soccer|European Football|European Futbol|UEL|UCL Highlights|Champions League Highlights|Football|CBS Golazo|CBS|Micah Richards|Jamie Carragher|Thierry Henry|CBS Studio","792965","431","False"
"xW-zNOT4P1A","Deadpool & Wolverine Teaser","2024-02-11T23:33:21Z","UCA3-nIYWu4PTWkb6NwhEpzg","Ryan Reynolds","24","24.20.02","[none]","15162022","29730","False"
"KK7K08dAtR4","We Cast Ryan Trahan In Our Movie","2024-02-14T03:37:13Z","UCVun3IyFIh6AsEMV11zlVHg","Sticks","27","24.20.02","sticks|productions|short film","841909","4689","False"
"AO6PocKRfKM","Dua Lipa - Training Season / Houdini (Live at The GRAMMYs 2024)","2024-02-13T14:47:40Z","UC-J-KZfRV8c13fOCkhXdLiQ","Dua Lipa","10","24.20.02","dua lipa|dua|new rules|dua leepa|idgaf|scared to be lonely|be the one|future nostalgia|don't start now|let's get physical|break my heart","3131929","3271","False"
"uQPFNRcoVHU","Overwatch 2 - EVERY HERO CHANGE for Season 9","2024-02-13T21:25:49Z","UCQH4V9PiY_eLo4Ihr1tWCwQ","KarQ","20","24.20.02","overwatch 2|overwatch 2 patch|overwatch 2 season 9|overwatch 2 changes|season 9 changes overwatch|overwatch 2 hitbox|overwatch 2 projectile|overwatch 2 hp buffs","474285","1355","False"
"vIopWHlYObQ","Fortnite OG Bronze to Unreal Speedrun!","2024-02-14T20:07:18Z","UCh7EqOZt7EvO2osuKbIlpGg","Lachlan","20","24.20.02","fortnite battle royale|fortnite|lachlan|lachy|duos|new season|battle royal|lacy|laclan|epic games|gaming|esports|games|video games|poggies|battle royale|warzone|pubg|lachydachy|power|pwr|rocketleague|rlcs|fortniteupdate|update|battlepass|battle|pass|bronze|to|unreal|speedrun|10 hours|ranked","638326","394","False"
"dVCBw9NLg0I","Madame Web - Movie Review","2024-02-13T14:00:34Z","UC7v3-2K1N84V67IF-WTRG-Q","Jeremy Jahns","24","24.20.02","madame web|spider man|sony|marvel|review|madame web review|madam web review|movie review|sucks","895851","4207","False"
"Ve2miT5iF2M","Dunkin’ ‘The DunKings’ ft Ben Affleck, Matt Damon, Tom Brady, Jack Harlow, Jennifer Lopez, & Fat Joe","2024-02-12T02:40:27Z","UC6p8ND29iGJGr-Etl3-3PJA","Dunkin'","19","24.20.02","[none]","4427270","1844","False"
"nGM_JqJ3MdE","Open Thoughts with Lala","2024-02-13T02:00:11Z","UCNWHllkNIWv1MSvKcOzLsow","Open Thoughts","24","24.20.02","[none]","833892","2803","False"
"iM150ZWovZM","Damsel | Official Trailer | Netflix","2024-02-13T14:00:00Z","UCWOA1ZGywLbqmigxE4Qlvuw","Netflix","24","24.20.02","2024 Movie Trailers|Angela Bassett|Damsel|Film|Juan Carlos Fresnadillo|Millie Bobby Brown|Movie Clips|Movie Trailer|Movie Trailers|Netflix|Netflix Movies|Netflix Trailers|New on Netflix|Robin Wright|Teaser|What To Watch On Netflix","3780799","5029","False"
