video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"vinxqZfAb0k","Ajii's Emotionally Charged Performance of 'Lose Control' by Teddy Swims - American Idol 2024","2024-02-17T15:00:52Z","UCAMPco9PqjBbI_MLsDOO4Jw","American Idol","24","24.18.02","American Idol|singing competition|Katy Perry|Ryan Seacrest|Luke Bryan|Lionel Richie|covers|sing|ABC|auditions|American Idol 2024|Ajii|Lose Control|Teddy Swims","267778","351","False"
"-YF2Nl44TIs","I Simulated Our Planet…","2024-02-17T13:00:00Z","UCYmna5rFHIesFteksAvFOfg","Dr. Plants","15","24.18.02","ecosystem|terrarium|dr. plants","665819","2498","False"
"LmweChiEKiQ","Junior H x Peso Pluma - A Tu Manera [Video Oficial]","2024-02-16T23:00:08Z","UCRRmSKkhOKEO6vIBaxG-ejA","Junior H","10","24.18.02","Junior H x PesoPluma - A Tu Manera [Video Oficial]|A Tu Manera|Junior H|Peso Pluma|Peso Pluma A Tu Manera|Junior H A Tu Manera|A ti manera|Sad Boyz|sad boyz for life|sad boyz for life 2|peso pluma lady gaga|peso pluma ella baila sola|peso pluma kali uchis|junior h y lloro|Junior Peso Pluma|Junior Peso|Junior A Tu Manera|Peso A Tu Manera|Junior Sad Boyz|Junior Sad Boys","1599129","6202","False"
"mYeBSUeu0O8","Trump’s $355M Penalty: New York Lawyer Breaks Down the Impacts | WSJ","2024-02-17T18:42:25Z","UCK7tptUDHh-RYDsdxO1-5QQ","The Wall Street Journal","25","24.18.02","trump|trump news|trump civil fraud|trump indictments|donald trump|new york|new york news|trump civil fraud trial|trump penalty|trump civil fraud case|eric trump|politics|the trump organization|trump fraud|trump misrepresents wealth|financial gain|lawyer|lawyer explains|trump business|trump verdict|trump tower|trump shuttle|trump charges|president trump|trump legal issues|doanld trump payments|u.s. news|real estate|real estate empire|usnews","533482","2318","False"
"h_Cz06qJgR4","I Built a Hovercraft","2024-02-17T14:52:00Z","UCrGDhgrJH1G9CVHY1krv5lQ","Jake Carlini","24","24.18.02","hovercraft|hover craft|made of trash","338719","1196","False"
"pjW3y8NKVO4","Telling My Family & Friends We’re PREGNANT!","2024-02-17T15:30:11Z","UCpDjQ4EC6ORXfzRN16Ren2Q","Keeley","24","24.18.02","keeley|keely|keeley elise|jessica kaylee|zachary ryan|ian boggs|ssniperwolf|preston|prestonplayz|prestonreacts|brianna|tbnrfragz|prestongamez|funny","468484","2670","False"
"qfdvJtr4qyg","LE SSERAFIM (르세라핌) 'EASY' MV TEASER 2","2024-02-17T15:00:01Z","UC3IZKseVpdzPSBaWxBxundA","HYBE LABELS","10","24.18.02","HYBE|HYBE LABELS|하이브|하이브레이블즈","1691765","3456","False"
"d8opPJZJl40","USING APPLE VISION PRO IN THE UK!","2024-02-17T19:30:38Z","UCWZmCMB7mmKWcXJSIPRhzZw","Miniminter","24","24.18.02","simon|sidemen|miniminter|mm7games|random|vlog","955878","631","False"
"ttl_kf1y2gU","As We Speak (feat. Drake) [Official Audio]","2024-02-17T17:01:36Z","UCV4UK9LNNLViFP4qZA_Wmfw","Yeat Music","10","24.18.02","yeat|yeet|2093|future|lil wayne|bnyx|idgaf|money so big|out the way|drake|drizzy","349636","2426","False"
"u15tFmCL4L0","Garten of Banban 7 - Official Teaser Trailer 2","2024-02-17T14:20:29Z","UCzDYgkEUa7tcWFmhfVItiiA","Euphoric Brothers","20","24.18.02","garten of banban devlog|garten of banban ending|poppy playtime|garten of banban gameplay|garten of banban game|garten of banban bosses|garten of banban|garten of banban trailer|garten of banban teaser|garten of banban 6 teaser|garden of banban|garden of banban gameplay|garden of banban trailer|garten of banban 6|garten of banban 6 trailer|garten of banban 5|garten of banban 6 gameplay|garten of banban 7|garten of banban 7 trailer|garten of banban 7 teaser","973892","7643","False"
"wW2z8oj9Jnk","Hermitcraft 10: Episode 4 - THE STARTER HOUSE!","2024-02-17T18:00:33Z","UCR9Gcq0CMm6YgTzsDxAxjOQ","Grian","20","24.18.02","hermitcraft season 10|grian|episode 4","1286300","4844","False"
"YvMyAOpSx04","Smoothie Night ...?","2024-02-16T23:31:47Z","UCepPGz8AVCbggMl3BvboaBA","brewstewfilms","23","24.18.02","brewstew|cartoon|storytime|funny story|stick figure|adobe flash|flash animation|smoothie|blender|magic bullet|magic bullet infomerical|infomercials|fruit smoothies","674776","2828","False"
"mIAeQcuZfUE","I Raced MY BROTHER to UNREAL Rank! ft Clix & Typical Gamer","2024-02-17T15:00:40Z","UCNAz5Ut1Swwg6h6ysBtWFog","TBNRFrags","20","24.18.02","fortnite|challenge|funny|comedy|family|family friendly|preston fortnite|bronze to unreal","265146","198","False"
"uirF_9Ujl70","DO NOT DOWNLOAD This Cute Pink Virtual Pet ...it HACKED my Computer, OPENED my Camera, & DOXXED ME!!","2024-02-17T16:15:02Z","UCeBnbqt4VRhotq2TQjkIi2A","LaurenZside","20","24.18.02","laurenzside|Laurenzside of Gaming|funny girl gamer|Kinitopet|do not download|do not play|cute but creepy|gloom|robertidk|virtual pet|pink|hacked|doxed|doxxed|webcam","466988","3271","False"
"MZz0zXRWRjk","Overnight in the World's Only LEGO Room","2024-02-17T14:30:07Z","UCpQB577lHFyWTyvrS73Ldlg","Brick Science","24","24.18.02","LEGO|Legos|LEGO Room|TD Bricks|Brick Science|Overnight in the worlds only lego room|LEGO Challenge|LEGO Overnight Challenge|brick science lego room overnight|brick science lego bed|LEGO Bed|Sleeping on a LEGO Bed|LEGO Room video|LEGO House|LEGO Moc|DIY|Funny|LEGO tutorial|LEGO Pillow","496091","870","False"
"TbWV7gCPiYc","CG5 - Sleep Well (from Poppy Playtime: Chapter 3)","2024-02-16T23:00:17Z","UCLCdyRg3u5O-EVP5p46QxcQ","CG5","10","24.18.02","cg5|cg5 song|cg5 poppy playtime|poppy playtime song|poppy playtime song cg5|poppy playtime chapter 3|poppy playtime chapter 3 song|sleep well cg5|sleep well poppy playtime","1483388","4401","False"
"nH3_n9w-V4Y","Gunna - Bittersweet [Official Video]","2024-02-16T16:00:22Z","UCAkIMkEaa9sZmjcy7mfd5lQ","Gunna","10","24.18.02","Gunna|YSL|YSL Gunna|Rap Music|Atlanta|Hip Hop|Drip Season|Drip|Fashion|Atlanta Rap|Atlanta Music|Atlanta Rap Music|Worldstarhiphop|The Fader|Wunna|Gunna Bittersweet|Bittersweet Gunna|gunna bittersweet|bittersweet gunna|gunna|bittersweet|bitter sweet|gunna new music|gunna new release bittersweet|bitter|sweet|gunna bitter sweet|bitter sweet gunna|Gunna bittersweet|Gunna - Bittersweet [Official Video]|bittersweet official video","946318","2849","False"
"fNqU9o4Udy8","I Coded Your Terrible Potion Ideas into Minecraft","2024-02-17T15:00:35Z","UC3wXNek0WLlrsirz2oz-UEQ","Knarfy","20","24.18.02","knarfy|knafy|mods|minecraft|clean|family|friendly|fun|funny|gaming|youtuber|breaking minecraft|breaking|dumb ideas|potions|dumb|food|thanksgiving|goofy|syszee|systemzee|cringygull|garret the carrot|gtcarrot|feritwolf95|coding|custom|feature|new|update|features|narfy","322489","785","False"
"FW22kjubkik","Bowsprit Step / Turning Lignum Vitae on a lathe","2024-02-17T18:00:13Z","UCg-_lYeV8hBnDSay7nmphUA","Sampson Boat Co","22","24.18.02","[none]","249136","984","False"
"XgC0cVVsoqU","Hermitcraft 10: Underwater Storage Room Design! Ep. 4","2024-02-17T14:29:32Z","UCUBsjvdHcwZd3ztdY1Zadcw","GeminiTay","20","24.18.02","Minecraft|GeminiTay|hermitcraft|hermitcraft season 10|hermitcraft 10 geminitay|hermitcraft base|minecraft storage room|minecraft storage room design|underwater storage room minecraft|minecraft 1.20 lets play","324360","1109","False"
"6COuAtzyoTE","sports 2","2024-02-17T00:42:25Z","UCOsATJw-IZgqGT8MFrHjKGg","Ice Cream Sandwich","23","24.18.02","[none]","751263","3221","False"
