video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"qLZenOn7WUo","ELDEN RING Shadow of the Erdtree | Official Gameplay Reveal Trailer","2024-02-21T14:30:14Z","UCETrNUjuH4EoRdZNFx9EI-A","BANDAI NAMCO Europe","20","24.22.02","[none]","6293096","31902","False"
"fedfW_5k7bk","PSV Eindhoven 1:1 Borussia Dortmund | Highlights - Champions League","2024-02-20T22:10:56Z","UCK2izXoHvraUFaPMU5B7vMQ","Prime Video Sport Deutschland","17","24.22.02","Amazon|Amazon Prime Sport|Amazon Champions League|Champions League|Amazon Prime Video|Amazon Prime Video Sport|Fußball|UEFA Champions League|UCL|CL|PrimeUCL|#UCLbeiPrime|Champions League 23/24|Champions League Highlights|Fußball Highlights|Highlights CL|Champions League Amazon|Amazon Highlights|APVS|PV|Prime Video|Prime Video CL|Prime Video Champions League|UCL Highlights|Highlights|PSV Eindhoven|Borussia Dortmund|BVB|DOR","579675","825","False"
"N87_QUsRGt4","Lewy & Osimhen liefern sich Stürmer-Duell: SSC Neapel - FC Barcelona | UEFA Champions League | DAZN","2024-02-21T22:04:59Z","UCB-GdMjyokO9lZkKU_oIK6g","DAZN UEFA Champions League","17","24.22.02","Champions League|DAZN Champions League|DAZN Highlights|DAZN|DAZN Champions League Highlights|DAZN UCL|Robert Lewandowski|Lewandowski|Napoli|SSC Neapel|NAP|Barca|FC Barcelona|BAR|Napoli Barca|Napoli vs Barca|Napoli - Barca|SSC Neapel vs FC Barcelona|SSC Neapel - FC Barcelona|Napoli Barca 1 1|Napoli vs Barca 1-1|Napoli - Barca 1:1|UEFA Champions League|UEFA Champions League Highlights|UEFA Champions League DAZN|DAZN UEFA Champions League","364672","432","False"
"LOtysP0-P84","ICH ZEIGE @MertAbiYT DEN BESTEN DÖNER DEUTSCHLANDS","2024-02-21T12:00:17Z","UCRk2rqyUr7OpV77jaGLtXWw","AbuGoku","24","24.22.02","abugoku|abugoku twitch|abu goku 9999|abugoku gta rp|abugoku9999 twitch|abugoku tiktok|abugoku gta|abugoku gta role play|gta roleplay|abugoku roleplay|immortal|gta immortal|gta server|mr bitcoin|mr btc|montana black|gta 5|gta v|Monte gta|mister bitcoin|gta rp|max sancho|trymacs|mckytv|mckytv gta rp|mcky gta rp|mr bitcoin gta rp|mrbitcoin gta|abu gta|abu gta rp|eliasn97|SidneyEweka|vitavate|cali cartel","205635","336","False"
"WuD17tmbnqo","Klaas testet Hypnose und Elektroschocks an Mitarbeiter | Late Night Berlin","2024-02-20T22:33:15Z","UCBlOtMAWn6nQpChhRo14CYA","Late Night Berlin","24","24.22.02","Klaas testet Hypnose und Elektroschocks an Mitarbeiter|rauchfrei mit klaas|rauchfrei|rauchen|mit rauchen aufhören|rauchen abgewöhnen|hypnose|elektroschocks|klaas mitarbeiter|florida|süchtig|raucher|zigaretten|Late Night Berlin|Klaas Late Night|Late|Night|Berlin|Klaas|Klaas Heufer-Umlauf|Circus HalliGalli|Joko und Klaas|Joko|Joko Winterscheidt|Klas|Claas|ProSieben|Late Night Show|Show|TV Show|Sendung|TV Sendung|TV","329166","260","False"
"lU_NKNZljoQ","Borderlands (2024) Official Trailer - Cate Blanchett, Kevin Hart, Jack Black","2024-02-21T17:00:04Z","UCJ6nMHaJPZvsJ-HmUmj1SeA","Lionsgate Movies","1","24.22.02","Borderlands|Borderlands 2024|Borderlands 2024 film|borderlands video game|borderlands 2024 official trailer|official trailer|trailer|borderlands official trailer|borderlands trailer|Cate Blanchett|Kevin Hart|Jack Black|Edgar Ramírez|Ariana Greenblatt|Florian Munteanu|Gina Gershon|Jamie Lee Curtis|video game|adaptation|Pandora|Eli Roth|Joe Crombie|Tiny Tina|Lilith|video game movie","1254541","6360","False"
"0ER2hl7HUWI","Nintendo Direct: Partner Showcase 2.21.2024","2024-02-21T14:00:00Z","UCGIY_O-8vW4rfX98KlMkvRg","Nintendo of America","24","24.22.02","nintendo|game|gameplay|fun|video game|action|adventure|rpg|play|switch|nintendo switch|nintendo direct|nintendo direct 2024|nintendo direct feb 21|nintendo direct showcase|nintendo direct news|Nintendo Direct|nintendo direct 2.21.2024|new nintendo direct|nintendo direct new games|nintendo direct trailers|nintendo direct trailer|nintendo direct new|nintendo direct games|nintendo direct games 2024|new nintendo games|nintendo direct partner showcase|trailers","1836356","9467","False"
"6nSyhGxOI0c","mgk - dont let me go (Official Music Video)","2024-02-21T18:00:10Z","UCUs8sGiP4avNaYNVO22INhQ","mgk","10","24.22.02","mgk|machine gun kelly|dont let me go|I'm coming back|mgk dont let me go|bloody valentine|rap devil|my ex's best friend|bad things|maybe|home|I think I'm okay|Machine Gun Kelly lyrics|mgk lyrics|mgk tattoo|Machine Gun Kelly tattoo|forget me too|candy","660671","7366","False"
"3q1GBsz1Oy8","Der Milliardär und die Macht: René Benkos Verbindung in die Politik | WDR Doku","2024-02-20T17:00:04Z","UCUuab1dctZzN5ZmRmQnTzkg","WDR Doku","22","24.22.02","Multimilliardär|Milliardär|René Benko|Signa|Selfmade-Milliardär|Immobilien|Galeria Karstadt Kaufhof|Kaufhaus|Kaufhauskönig|Galeria Kaufhof|Kardstadt|Kaufhof|Kaufhäuser|Profit|Millionengewinne|Personal|Arbeitsplätze|Verdi|Immobilienmarkt|Investor|Warenhaus|Warenhauskette|Warenhäuser|Arbeitslosigkeit|Dokumentation|WDR Doku|Doku|Angestellte|Stellenabbau|Pleite|Benko Pleite|Benko Interview|WDR|WDRDoku","287604","1050","False"
"Z2yRrj6lSGI","Bayern-Aus: Tuchel im Sommer weg - Zidane wird Trainer - FC Bayern München","2024-02-21T11:18:23Z","UCkTkUNhu87b0U5eGqzXO3yg","Matze Knop","17","24.22.02","Matze Knop|Jürgen Klopp|Borussia Dortmund|FC Bayern München|Schalke 04|Ribery|Beckenbauer|Matze|Comedy","204241","183","False"
