video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"qLZenOn7WUo","ELDEN RING Shadow of the Erdtree | Official Gameplay Reveal Trailer","2024-02-21T14:30:14Z","UCETrNUjuH4EoRdZNFx9EI-A","BANDAI NAMCO Europe","20","24.22.02","[none]","6293096","31902","False"
"0ER2hl7HUWI","Nintendo Direct: Partner Showcase 2.21.2024","2024-02-21T14:00:00Z","UCGIY_O-8vW4rfX98KlMkvRg","Nintendo of America","24","24.22.02","nintendo|game|gameplay|fun|video game|action|adventure|rpg|play|switch|nintendo switch|nintendo direct|nintendo direct 2024|nintendo direct feb 21|nintendo direct showcase|nintendo direct news|Nintendo Direct|nintendo direct 2.21.2024|new nintendo direct|nintendo direct new games|nintendo direct trailers|nintendo direct trailer|nintendo direct new|nintendo direct games|nintendo direct games 2024|new nintendo games|nintendo direct partner showcase|trailers","1836356","9467","False"
"lU_NKNZljoQ","Borderlands (2024) Official Trailer - Cate Blanchett, Kevin Hart, Jack Black","2024-02-21T17:00:04Z","UCJ6nMHaJPZvsJ-HmUmj1SeA","Lionsgate Movies","1","24.22.02","Borderlands|Borderlands 2024|Borderlands 2024 film|borderlands video game|borderlands 2024 official trailer|official trailer|trailer|borderlands official trailer|borderlands trailer|Cate Blanchett|Kevin Hart|Jack Black|Edgar Ramírez|Ariana Greenblatt|Florian Munteanu|Gina Gershon|Jamie Lee Curtis|video game|adaptation|Pandora|Eli Roth|Joe Crombie|Tiny Tina|Lilith|video game movie","1254541","6360","False"
"6nSyhGxOI0c","mgk - dont let me go (Official Music Video)","2024-02-21T18:00:10Z","UCUs8sGiP4avNaYNVO22INhQ","mgk","10","24.22.02","mgk|machine gun kelly|dont let me go|I'm coming back|mgk dont let me go|bloody valentine|rap devil|my ex's best friend|bad things|maybe|home|I think I'm okay|Machine Gun Kelly lyrics|mgk lyrics|mgk tattoo|Machine Gun Kelly tattoo|forget me too|candy","660671","7366","False"
"c9vtuEH-vfk","Jeezy: Tiny Desk Concert","2024-02-21T17:00:08Z","UC4eYXhJI4-7wSWc8UNRwD4A","NPR Music","10","24.22.02","NPR|NPR Music|National Public Radio|Live|Performance|tiny desk|tiny desk concert|tony desk|tiny concert","333933","2480","False"
"1Zko_8h8qzc","Star Wars: Battlefront Classic Collection - Announce Trailer | PS5 & PS4 Games","2024-02-21T14:11:10Z","UC-2Y8dQb0S6DtpxNgAKoJKA","PlayStation","20","24.22.02","PlayStation|PS5|video games|next gen|Sony|battlefront|starwars|starwarsbattlefront|clonewars|darthvader|anakinskywalker|starwarsmemes|obiwankenobi|lukeskywalker|darthmaul|starwarsfan|jedi|revengeofthesith|sith|clonewarssaved|swbf|prequelmemes|gaming|starwarsdaily|#yoda|theclonewars|battlefrontii|clonetrooper|starwarsrebels|palpatine|babyyoda|starwarsgames","996289","5819","False"
"Xb0k6v9GLQA","How Dropshipping Ruined Online Shopping","2024-02-21T17:01:03Z","UC-oYqxpi6TO1J7BjQksSuOA","gabi belle","23","24.22.02","gabi belle|commentary|dropshipping","401883","1928","False"
"4rysq0UF6Nc","Beating Minecraft without a Keyboard","2024-02-21T07:01:32Z","UC0VVYtw21rg2cokUystu2Dw","SmallAnt","20","24.22.02","[none]","925044","1725","False"
"V4zx5XVTli8","Day 1 Highlights | F1 Pre-Season Testing 2024","2024-02-21T18:23:44Z","UCB_qr75-ydFVKSF9Dmo6izg","FORMULA 1","17","24.22.02","F1|Formula One|Formula 1|Sports|Sport|Action|GP|Grand Prix|Auto Racing|Motor Racing","1249499","1718","False"
"iBQnxDd1-0I","Hermitcraft 10: Episode 5 - MANIFESTING MENDING","2024-02-21T19:00:16Z","UCR9Gcq0CMm6YgTzsDxAxjOQ","Grian","20","24.22.02","hermitcraft season 10|grian|episode 5","1074478","9314","False"
