video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"0ER2hl7HUWI","Nintendo Direct: Partner Showcase 2.21.2024","2024-02-21T14:00:00Z","UCGIY_O-8vW4rfX98KlMkvRg","Nintendo of America","20","24.21.02","nintendo|game|gameplay|fun|video game|action|adventure|rpg|play|switch|nintendo switch","970432","7324","False"
"cA4wVhs3HC0","Civil War | Official Trailer 2 HD | A24","2024-02-20T14:00:33Z","UCuPivVjnfNo4mb3Oog_frZg","A24","1","24.21.02","a24|a24 films|a24 trailers|independent films|trailer|HD|official|movie|film|a24 movies|oscar winner|academy award winner","3752127","3982","False"
"m0ARyXUATnE","Borderlands: Exclusive Trailer Preview (2024) Cate Blanchett, Kevin Hart | IGN Fan Fest 2024","2024-02-20T17:00:40Z","UCWJ5MfdQZ6jXbF5gYuSAf5Q","IGN Movie Trailers","24","24.21.02","Action|Borderlands|Borderlands: The Movie|Lionsgate|Sci-Fi|Theater|borderlands movie|borderlands movie trailer|borderlands|borderlands movie 2024|borderlands live action movie|borderlands sneak peek trailer|borderlands sneak peek movie trailer|borderlands trailer|borderlands live action|borderlands official trailer|borderlands the movie|borderlands movie trailer 2024|2024","305402","1013","False"
"sZY0sg28rXc","Dead by Daylight | All Things Wicked | Official Trailer","2024-02-20T16:00:18Z","UCaSgsFdGbwjfdawl3rOXiwQ","Dead by Daylight","20","24.21.02","dead by daylight|dbd|behaviour interactive|bhvr|slasher game|survival horror","587989","2045","False"
"LrIRuqr_Ozg","What Happens AFTER Nuclear War?","2024-02-20T15:00:02Z","UCsXVk37bltHxD1rDPwtNM8Q","Kurzgesagt – In a Nutshell","27","24.21.02","[none]","1831206","6963","False"
"nf1SXEN0jnE","Our New Electric Jet That Can HOVER... This Thing is INSANE!!!","2024-02-20T23:34:12Z","UCMJbbWyIziiUamP5JKK9yAA","Cleetus2 McFarland","2","24.21.02","[none]","312014","1112","False"
"_36O2MdngXs","bodies and secrets under the floorboard? The stinky serial killer | mystery and makeup","2024-02-19T20:00:12Z","UCtNdVINwfYFTQEEZgMiQ8FA","Bailey Sarian","24","24.21.02","Bailey sarian|youtube bailey sarian|bailey sarian youtube|bailey|mystery makeup monday|monday mystery makeup|mystery makeup|mystery makeup mondays|new makeup tutorial|makeup and story time|story time and makeup|story time|grwm|grwm and makeup|get ready with me and makeup|makeup grwm|flawless foundation|mystery monday|mystery|monday story time|dark history|history story|hilarious|true crime story|true crime|tiktok|tattoo tour|tattoos|90s makeup|grunge","783136","3074","False"
"6PBJSoPMxKI","BossMan Dlow - “Mr Pot Scraper” | From The Block Performance 🎙","2024-02-19T20:01:44Z","UCE86oyLVAcsSkRAEWVtDUlA","4 Shooters Only","10","24.21.02","from the block|from the block performance|4 shooters only|Lil Mabu - TEACH ME HOW TO DRILL (Official Music Video) ft. Fivio Foreign|lil mabu|mabu|no snitching|ny drill|drill rap|new york music|maboo|lil maboo|new mabu|math lil mabu|lil mabu live|new york mabu rap|i could never snitch|lil mabu on the radar|trip to the hood|uk drill|fivio foreign|he can't say the word ima say it for em|when the face white|white boi but you my|welcome to the hood","411085","942","False"
"U99WNABxlQQ","WE ARE HAVING A ?!? .. OUR INTIMATE GENDER REVEAL💙💓","2024-02-19T20:00:19Z","UCTvgnaLSfM5nqrabqrRJXMg","LVE FAMILY","1","24.21.02","genderreveal|lauramellado|lvefamilygenderreveal|lauramelladolve|lovefamily|lvefamily|lauramelladoandvictorhallman|victootall|gender|genderpredictions|genderlauramellado|lovefamilygenderrevealparty|intimategenderreveal|intimatereveal|lauramelladoLVE|lauramelladobabygirl|lauramelladobabyboy","715504","1841","False"
"accWa7GGCd4","Kodak Black - Shampoo [Official Music Video]","2024-02-19T22:32:35Z","UChEYVadfkMCfrKUi6qr3I1Q","Kodak Black","10","24.21.02","kodak|black|kodak black|atlantic records|roll in peace|codeine dreaming|tunnel vision|drowning|transportin|heart break kodak|project baby 2|Kodak Black Bill Israel|Bill Israel|Sniper|Sniper Gang|Hip Hop|Rap|Kodak Black I Knew It|Kodak Bill Israel|Kodak Black Easter in Miami|Easter|Easter in Miami|Kodak Easter|Kodak Black Haitian Boy Kodak|Haitian Boy Kodak|Kodak Black HBK|HBK|Kodak Black Happy Birthday Kodak|Happy Birthday Kodak","704762","3077","False"
"rdD7je57_-4","The Sims 4 Crystal Creations Stuff Pack: Official Reveal Trailer","2024-02-20T15:58:07Z","UCFXKLSrT-4-Mf5TRqv40rgw","The Sims","20","24.21.02","The Sims 4|The Sims 4 Crystal Creations|Sims 4 Crystal Creations|The Sims 4 jewelry|Sims Crystal Creations|Crystal Creations|Crystal Creations Stuff Pack|Crystal Creations Pack|Stuff Pack|The Sims 4 Stuff Pack|Build/Buy|Sims 4|The Sims 4 Gameplay|The Sims Trailer|Game|Gamer|Games|Video Games|PC|Mac|Xbox One|PlayStation 4|TheSims4|The Sims|Sims|Maxis|Life Simulation|Life Simulator|Simlish|EA|Electronic Arts|Official Trailer|The Sims (Video Game)","287951","1656","False"
"ye3blP4MxfE","LE SSERAFIM (르세라핌) 'EASY' l Original Stage","2024-02-20T12:58:12Z","UCs-QBT4qkj_YiQw1ZntDO3g","LE SSERAFIM","10","24.21.02","LE SSERAFIM|르세라핌|김채원|사쿠라|허윤진|카즈하|홍은채|KPOP|아이돌|걸그룹|4세대|Idol|하이브|hybe|케이팝|댄스|dance|음악|노래|music|KIMCHAEWON|SAKURA|HUHYUNJIN|KAZUHA|HONGEUNCHAE|르세라핌 김채원|르세라핌 사쿠라|르세라핌 허윤진|르세라핌 카즈하|르세라핌 홍은채|LE SSERAFIM KIMCHAEWON|LE SSERAFIM SAKURA|LE SSERAFIM HUHYUNJIN|LE SSERAFIM KAZUHA|LE SSERAFIM HONGEUNCHAE|ルセラフィム|キム・チェウォン|サクラ|ホ・ユンジン|カズハ|ホン・ウンチェ","1748064","1884","False"
"XTp80XJAOvA","Minecraft Hide and Seek Build Challenge","2024-02-20T18:00:16Z","UCzTlXb7ivVzuFlugVCv3Kvg","LDShadowLady","20","24.21.02","ldshadowlady|minecraft|mini game|girl gamer|pink hair|funny|walkthrough","277962","1011","False"
"KymTp7rnTiE","Residente, Silvia Pérez Cruz, Penélope Cruz - 313 (Official Video)","2024-02-21T00:00:09Z","UCMwXzr4_lGijScJsMp-IHxw","ResidenteVEVO","10","24.21.02","313|Residente|Silvia Pérez Cruz Penelope Cruz","571171","4608","False"
"bNKXxwOQYB8","LE SSERAFIM (르세라핌) 'EASY' OFFICIAL MV","2024-02-19T08:58:08Z","UC3IZKseVpdzPSBaWxBxundA","HYBE LABELS","10","24.21.02","HYBE|HYBE LABELS|하이브|하이브레이블즈","28615950","30635","False"
"CGRrV1at878","Minecraft Build & Seek! W/LDShadowlady, Geminitay, SolidarityGaming & Shubble","2024-02-20T18:00:04Z","UCxucf8O8itcmkqu3d7yUavg","Dangthatsalongname","20","24.21.02","Scottish|Slang|Scotland|Funny|Accent|Guy","109639","274","False"
"OvezgDni8z4","Kingmakers - Official Announcement Trailer","2024-02-20T13:55:55Z","UCHLuN_JL66bD8fdJWmQ-gNw","tinyBuildGAMES","20","24.21.02","kingmakers|tinybuild|medieval game|medieval games|rts|rts game|shooter|Kingmakers|3rd person shooter|New game|Redemption Road|rts games|game reveal|Steam|Games in 2024|Early Access|PC Game|PC Games|Steam Game|Co-op game|co-op games|Multiplayer|Multiplayer game|Medieval England|Medieval crossover|games with guns|massive battles|simulation|Sandbox|kingmaker|kinmaker|kingmake|tinybuild game|Road Redemption","368031","637","False"
"iis_5y50Z8o","YoungBoy Never Broke Again - No Time [Official Music Video]","2024-02-19T22:00:17Z","UClW4jraMKz6Qj69lJf-tODA","YoungBoy Never Broke Again","10","24.21.02","YoungBoy Never Broke Again|NBA YoungBoy|YoungBoy Quando Rondo|YoungBoy Leak|Make No Sense YoungBoy|Youngboy Lost Motives|YoungBoy NBA Music Video|YoungBoy Never Broke Again TOP|nba youngboy top|YoungBoy NBA TOP album|7KTt4_M09Rw|0C80BSgjb8M|qChxuVxs8FA|dYk-yCsuTUo|6MCSr65d9Xc|ALimx-H8C6s|YoungBoy Never Broke Again Sincerely Kentrell|Sincerely Kentrell|Youngboy NBA Sincerely Kentrell|Sincerely Kentrell album|YBNBA Sincerely Kentrell|YB Sincerely Kentrell|Kentrell","1426405","7532","False"
"APWZGyUFVyQ","The Vault! - Hermitcraft 10 | Ep 04","2024-02-20T14:00:05Z","UCuMJPFqazQI4SofSFEd-5zA","impulseSV","20","24.21.02","minecraft hermitcraft|hermit craft|lets play minecraft|minecraft server|no swearing|family friendly|let's play|impulse|impulseSV|hermitcraft|minecraft|yt:quality=high|impulse hermitcraft|lets play|minecraft survival|impulse base|caves and cliffs|minecraft tutorial|minecraft mega base|hermitcraft mega base|gigabase|giga base|Hermitcraft Season 10|hermitcraft 10|season 10|hermitcraft server|hermitcraft x|hermitcraft new season|hermitcraft season x","264066","1577","False"
"5Mam5b83gNQ","The Crypto Scamming Pastor","2024-02-19T19:03:45Z","UCoo-9GEm2mpyYIXSptrKIpA","2 Danny 2 Furious","22","24.21.02","danny gonzalez|dannygonzalez|funny|skit|vine comedy|vines","994741","3178","False"
"CX7O-yUs0Mw","We Took 100 Shots vs an Amputee Keeper and Scored ___ Goals","2024-02-20T18:41:24Z","UCQ-YJstgVdAiCT52TiBWDbg","ChrisMD","24","24.21.02","[none]","1070144","1006","False"
"p3EwqI_ReDM","LE SSERAFIM (르세라핌) 'Swan Song' l Original Stage","2024-02-20T13:03:10Z","UCs-QBT4qkj_YiQw1ZntDO3g","LE SSERAFIM","10","24.21.02","LE SSERAFIM|르세라핌|김채원|사쿠라|허윤진|카즈하|홍은채|KPOP|아이돌|걸그룹|4세대|Idol|하이브|hybe|케이팝|댄스|dance|음악|노래|music|KIMCHAEWON|SAKURA|HUHYUNJIN|KAZUHA|HONGEUNCHAE|르세라핌 김채원|르세라핌 사쿠라|르세라핌 허윤진|르세라핌 카즈하|르세라핌 홍은채|LE SSERAFIM KIMCHAEWON|LE SSERAFIM SAKURA|LE SSERAFIM HUHYUNJIN|LE SSERAFIM KAZUHA|LE SSERAFIM HONGEUNCHAE|ルセラフィム|キム・チェウォン|サクラ|ホ・ユンジン|カズハ|ホン・ウンチェ","1446633","2230","False"
